                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1473,                 2.6031,                 1.3649,                0.00676,                 0.9726,                0.66562,                0.42841,                 1.0713,                 2.8331,                 1.3063,                0.00014,                0.00014,                0.00014
                      2,                 1.1694,                 1.5769,                 1.3041,                0.90849,                0.60274,                0.77195,                0.47924,                 1.2065,                 2.1096,                  1.407,             0.00029406,             0.00029406,             0.00029406
                      3,                  1.179,                 1.2532,                 1.2635,                0.91372,                0.72533,                0.84726,                0.52782,                 1.1373,                 1.8831,                 1.3423,             0.00044178,             0.00044178,             0.00044178
                      4,                 1.0924,                 1.1618,                 1.2415,                0.98296,                0.79048,                0.89754,                0.59136,                 1.2343,                 1.5567,                 1.4903,             0.00058317,             0.00058317,             0.00058317
                      5,                 1.1147,                 1.1764,                 1.2329,                0.93937,                0.82192,                0.91596,                0.55109,                 1.2203,                 1.5836,                 1.3394,             0.00071822,             0.00071822,             0.00071822
                      6,                 1.0424,                 1.1044,                  1.177,                 0.8763,                0.86301,                0.92111,                0.58886,                  1.122,                 1.3684,                 1.3918,             0.00084694,             0.00084694,             0.00084694
                      7,                 1.0244,                 1.0712,                 1.1599,                0.74594,                0.80444,                0.83229,                0.49164,                  1.271,                 1.5062,                  1.487,             0.00096932,             0.00096932,             0.00096932
                      8,                 1.1127,                  1.056,                 1.1997,                 0.9231,                0.84932,                0.93416,                0.58694,                 1.1964,                 1.2774,                 1.4389,              0.0010854,              0.0010854,              0.0010854
                      9,                 1.0577,                 1.0434,                 1.1779,                0.85756,                0.73973,                0.87563,                0.58684,                  1.147,                  1.295,                 1.3295,              0.0011951,              0.0011951,              0.0011951
                     10,                 1.1377,                 1.0682,                 1.1979,                0.89312,                0.89041,                0.95274,                0.58946,                 1.1336,                 1.2467,                 1.3524,              0.0012984,              0.0012984,              0.0012984
                     11,                 1.1459,                 1.0269,                 1.2235,                0.91813,                0.84932,                0.93843,                0.58151,                 1.2155,                 1.2271,                 1.4857,              0.0013955,              0.0013955,              0.0013955
                     12,                 1.1164,                 1.0425,                 1.2223,                0.92331,                0.91781,                0.95156,                0.58148,                 1.2289,                 1.2034,                 1.3804,              0.0014862,              0.0014862,              0.0014862
                     13,                 1.1159,                0.98547,                  1.203,                0.91157,                0.84734,                0.94683,                0.55572,                 1.2421,                 1.2647,                 1.4063,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0423,                 0.8998,                 1.1807,                0.90274,                0.86301,                0.93326,                0.56758,                 1.2781,                 1.4231,                 1.3958,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.0215,                 0.9213,                 1.1574,                0.87364,                 0.8524,                0.94666,                 0.5808,                 1.2205,                 1.2288,                 1.3582,              0.0014852,              0.0014852,              0.0014852
                     16,                0.98957,                0.89821,                 1.1472,                0.77643,                0.87671,                 0.8925,                0.55943,                 1.3161,                 1.2129,                 1.3996,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.1098,                0.94728,                 1.2298,                0.84425,                0.87671,                0.92105,                0.61257,                 1.1719,                 1.0393,                 1.3069,               0.001406,               0.001406,               0.001406
                     18,                0.89772,                0.81848,                 1.1177,                 0.9505,                0.93151,                 0.9637,                0.59016,                 1.1773,                 1.0347,                 1.3351,              0.0013664,              0.0013664,              0.0013664
                     19,                0.97529,                0.83841,                 1.1635,                0.94586,                 0.9589,                0.95847,                0.60857,                 1.1268,                0.82747,                 1.2761,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0068,                0.82848,                 1.1962,                  0.958,                0.93738,                0.95139,                0.59617,                 1.1978,                  1.182,                 1.3052,              0.0012872,              0.0012872,              0.0012872
                     21,                0.97281,                0.81188,                 1.1287,                0.97139,                0.93016,                0.96922,                0.60917,                 1.2119,                0.87747,                 1.3763,              0.0012476,              0.0012476,              0.0012476
                     22,                0.95338,                0.80678,                 1.1074,                0.95759,                 0.9589,                0.97421,                 0.5804,                 1.2779,                0.86549,                 1.4581,               0.001208,               0.001208,               0.001208
                     23,                0.93081,                0.73617,                 1.1354,                      1,                0.94471,                0.98097,                0.60296,                 1.3158,                0.86834,                 1.4509,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0435,                0.83394,                 1.1409,                0.93148,                 0.9589,                0.97894,                0.59578,                 1.2141,                0.84318,                 1.3596,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.0073,                0.78859,                  1.152,                0.97217,                0.95693,                0.98977,                0.64073,                 1.1977,                0.80283,                 1.3606,              0.0010892,              0.0010892,              0.0010892
                     26,                0.88938,                0.68008,                 1.0809,                0.98627,                0.98412,                0.99369,                0.65051,                  1.168,                0.82158,                 1.3215,              0.0010496,              0.0010496,              0.0010496
